trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",25,0,-88.31093998784303,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.99, 'e': 0.9801}",20,0,-60.4715793155425,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.99, 'e': 0.970299}",25,0,-127.98825158151513,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",20,0,-73.86405517807799,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",25,0,-170.25478543021993,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.99, 'e': 0.941480149401}",25,0,-111.10212281007523,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",20,0,-40.678124099210414,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",35,0,-234.49046888249995,"{0: 22, 1: 1, 2: 7, 3: 1, 4: 4}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,0,-121.10162280832421,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",25,0,-129.64018167039802,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",20,0,-73.51323316569014,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",30,0,-159.80962230269873,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",25,0,-68.1600881769641,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",20,0,-168.61616680398768,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",20,0,-88.7392705648622,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",25,0,-88.77211236134583,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",25,0,-12.1405186146429,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",35,0,-161.42970983238365,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",25,0,-177.84181787485434,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.99, 'e': 0.8179069375972308}",20,0,-92.29474397203516,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.99, 'e': 0.8097278682212584}",35,0,-140.0417049022113,"{0: 26, 1: 3, 2: 2, 3: 1, 4: 3}",0
22,False,"{'a': 0.99, 'e': 0.8016305895390459}",30,0,-221.6535132417552,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 5}",0
23,False,"{'a': 0.99, 'e': 0.7936142836436554}",20,0,-39.34868516784518,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",20,0,-88.51962976284445,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991467}",25,0,-90.80472136312933,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",20,0,-137.0641851114867,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",25,0,-130.16648705144664,"{0: 18, 1: 1, 2: 1, 3: 3, 4: 2}",0
28,False,"{'a': 0.99, 'e': 0.7547192872036325}",25,0,-11.850216850084365,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.99, 'e': 0.7471720943315961}",20,0,-76.97379136891834,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.99, 'e': 0.7397003733882802}",30,20,-12.476672576652126,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.99, 'e': 0.7323033696543975}",25,0,-71.97574737266045,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.99, 'e': 0.7249803359578535}",25,0,-16.43525739305225,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.99, 'e': 0.7177305325982749}",20,2,-9.979905776086385,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.99, 'e': 0.7105532272722921}",20,0,-103.59115092877101,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.99, 'e': 0.7034476949995692}",25,0,-87.24590776454569,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.99, 'e': 0.6964132180495735}",20,0,-87.32938596711283,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
37,False,"{'a': 0.99, 'e': 0.6894490858690778}",20,0,-87.82675903724909,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.99, 'e': 0.682554595010387}",20,0,-194.50941490957635,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
39,False,"{'a': 0.99, 'e': 0.6757290490602831}",20,0,-93.79758355090763,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
40,False,"{'a': 0.99, 'e': 0.6689717585696803}",30,0,-157.09707911545976,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
41,False,"{'a': 0.99, 'e': 0.6622820409839835}",25,6,8.629438751099217,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",20,0,-153.46402943881355,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",35,0,-93.49164700838513,"{0: 25, 1: 3, 2: 4, 3: 2, 4: 1}",0
