trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-190.3645862609327,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-215.210758127129,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,1,-160.0896734668011,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 3}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-221.94122277809356,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-85.88586848132907,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,20,7.743020000131823,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-55.75116403087126,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-41.78430338713357,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,11,-5.799423407012322,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-87.36302684918871,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-146.26224541420922,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,1,-43.47044372984885,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-174.80881013888867,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-44.37971804591905,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,15,-22.744251321671438,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-28.091393496942203,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,19.099184190698725,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-118.54571315859005,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",35,10,29.45644792826551,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-60.05311447264153,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-36.3367398558006,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,13,-27.82632976491525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,2,-1.9962638071924725,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-26.066654230247167,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,14,-33.7527523331012,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,14,13.049775767089594,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,12,-97.81022628943492,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-0.4524406817759167,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",35,12,-71.27778569795916,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-16.556880355541406,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,0.6941458857723428,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,1.1559598618420037,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,22.86474258213306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-26.785007159691176,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
