trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.194363487019594,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-7.244291371598881,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.949216977368746,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.214954344295336,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-8.759293359901244,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.302686629222016,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.5068893715916163,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.40467582798044,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-25.158542735902447,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.76110854714357,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.242181351301472,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.790923833209877,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.873555962323298,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.393751360622463,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-39.73788244726305,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-24.710603380289875,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.58794236938512,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-37.23663541895162,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-4.934879471001382,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-19.054238306998464,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.307346565636074,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.497645094313715,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-12.573682896263897,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.16193465454377,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-25.212112703341326,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-42.55492905182922,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-35.9169630693582,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.442952684270175,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-19.336586656384075,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-10.361322078476125,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
